,ID Number,Season,Grade Level,Gender_x,1500 Meters,Gender_y,400 Meters
800,13499,2005 Outdoor Season                     ,11th Grade,M,299.06,M,63.64
801,13502,2005 Outdoor Season                     ,12th Grade,M,314.0,M,54.29
802,13505,2005 Outdoor Season                     ,9th Grade,M,329.0,M,66.84
803,13519,2006 Outdoor Season                     ,10th Grade,M,286.6,M,57.5
804,13519,2007 Outdoor Season                     ,11th Grade,M,275.1,M,56.7
805,13538,2005 Outdoor Season                     ,10th Grade,M,292.7,M,58.24
806,13554,2008 Outdoor Season                     ,12th Grade,M,260.09,M,53.34
807,13609,2007 Outdoor Season                     ,11th Grade,M,323.8,M,65.72
808,13618,2006 Outdoor Season                     ,10th Grade,M,270.33,M,55.23
809,13631,2006 Outdoor Season                     ,10th Grade,M,250.7,M,53.88
810,13631,2007 Outdoor Season                     ,11th Grade,M,241.1,M,50.6
811,13631,2008 Outdoor Season                     ,12th Grade,M,241.69,M,53.94
812,13642,2006 Outdoor Season                     ,10th Grade,M,280.0,M,58.42
813,13648,2005 Outdoor Season                     ,9th Grade,M,268.27,M,57.74
814,13680,2007 Outdoor Season                     ,11th Grade,M,290.9,M,52.9
815,13680,2008 Outdoor Season                     ,12th Grade,M,265.1,M,54.21
816,13711,2007 Outdoor Season                     ,11th Grade,M,288.75,M,59.7
817,13714,2005 Outdoor Season                     ,11th Grade,M,308.9,M,81.54
818,13763,2004 Outdoor Season                     ,10th Grade,M,271.2,M,60.82
819,13763,2006 Outdoor Season                     ,12th Grade,M,265.1,M,59.74
820,13891,2005 Outdoor Season                     ,10th Grade,M,328.17,M,62.14
821,13899,2005 Outdoor Season                     ,9th Grade,M,294.9,M,63.64
822,13899,2006 Outdoor Season                     ,10th Grade,M,284.98,M,59.04
823,13899,2007 Outdoor Season                     ,11th Grade,M,275.0,M,58.34
824,13899,2008 Outdoor Season                     ,12th Grade,M,269.21,M,57.74
825,13936,2007 Outdoor Season                     ,11th Grade,M,324.7,M,65.44
826,13951,2005 Outdoor Season                     ,9th Grade,M,328.9,M,65.44
827,13953,2007 Outdoor Season                     ,11th Grade,M,287.5,M,56.13
828,14003,2005 Outdoor Season                     ,10th Grade,M,272.3,M,57.44
829,14033,2005 Outdoor Season                     ,12th Grade,M,300.8,M,56.34
830,14048,2007 Outdoor Season                     ,11th Grade,M,275.7,M,55.61
831,14048,2008 Outdoor Season                     ,12th Grade,M,270.38,M,56.8
832,14051,2007 Outdoor Season                     ,12th Grade,M,308.0,M,63.05
833,14084,2007 Outdoor Season                     ,11th Grade,M,284.1,M,59.94
834,14086,2005 Outdoor Season                     ,12th Grade,M,278.61,M,60.5
835,14117,2004 Outdoor Season                     ,10th Grade,M,271.4,M,54.04
836,14117,2006 Outdoor Season                     ,12th Grade,M,285.38,M,51.94
837,14125,2006 Outdoor Season                     ,10th Grade,M,285.87,M,58.74
838,14125,2007 Outdoor Season                     ,11th Grade,M,271.05,M,57.24
839,14130,2005 Outdoor Season                     ,11th Grade,M,312.6,M,54.4
840,14233,2007 Outdoor Season                     ,11th Grade,M,295.1,M,56.29
841,14234,2007 Outdoor Season                     ,11th Grade,M,260.78,M,55.8
842,14252,2005 Outdoor Season                     ,10th Grade,M,305.8,M,55.74
843,14253,2005 Outdoor Season                     ,9th Grade,M,288.0,M,61.09
844,14266,2005 Outdoor Season                     ,10th Grade,M,365.1,M,68.39
845,14330,2005 Outdoor Season                     ,9th Grade,M,365.8,M,64.73
846,14340,2007 Outdoor Season                     ,11th Grade,M,271.11,M,57.3
847,14340,2008 Outdoor Season                     ,12th Grade,M,277.1,M,58.0
848,14346,2005 Outdoor Season                     ,10th Grade,M,301.3,M,58.54
849,14349,2005 Outdoor Season                     ,10th Grade,M,291.4,M,61.74
850,14351,2005 Outdoor Season                     ,9th Grade,M,293.9,M,62.14
851,14355,2007 Outdoor Season                     ,11th Grade,M,292.8,M,59.0
852,14355,2008 Outdoor Season                     ,12th Grade,M,296.9,M,58.8
853,14398,2007 Outdoor Season                     ,12th Grade,M,250.05,M,54.94
854,14415,2005 Outdoor Season                     ,9th Grade,M,297.7,M,63.84
855,14415,2006 Outdoor Season                     ,10th Grade,M,286.1,M,60.24
856,14415,2007 Outdoor Season                     ,11th Grade,M,285.6,M,64.14
857,14416,2005 Outdoor Season                     ,11th Grade,M,268.1,M,56.74
858,14416,2006 Outdoor Season                     ,12th Grade,M,270.1,M,55.14
