,ID Number,Season,Grade Level,Gender_x,800 Meters,Gender_y,400 Meters
223,2090,2004 Outdoor Season                     ,10th Grade,M,134.0,M,55.91
224,2171,2004 Outdoor Season                     ,11th Grade,M,122.7,M,53.34
225,2172,2006 Outdoor Season                     ,11th Grade,M,128.8,M,57.4
226,2191,2004 Outdoor Season                     ,12th Grade,M,144.4,M,53.14
227,2211,2004 Outdoor Season                     ,9th Grade,M,131.7,M,60.75
228,2211,2006 Outdoor Season                     ,11th Grade,M,135.6,M,61.1
229,2215,2004 Outdoor Season                     ,10th Grade,M,134.0,M,56.54
230,2215,2005 Outdoor Season                     ,11th Grade,M,132.6,M,53.78
231,2215,2006 Outdoor Season                     ,12th Grade,M,135.7,M,52.5
232,2325,2005 Outdoor Season                     ,11th Grade,M,133.5,M,57.8
233,2328,2005 Outdoor Season                     ,12th Grade,M,127.0,M,54.5
234,2329,2005 Outdoor Season                     ,10th Grade,M,122.1,M,54.3
235,2329,2006 Outdoor Season                     ,11th Grade,M,120.4,M,53.64
236,2329,2007 Outdoor Season                     ,12th Grade,M,120.12,M,53.1
237,2331,2005 Outdoor Season                     ,12th Grade,M,130.1,M,57.6
238,2338,2004 Outdoor Season                     ,10th Grade,M,156.55,M,61.0
239,2376,2006 Outdoor Season                     ,12th Grade,M,134.81,M,59.63
240,2411,2006 Outdoor Season                     ,11th Grade,M,132.6,M,51.15
241,2411,2007 Outdoor Season                     ,12th Grade,M,136.4,M,49.2
242,2413,2004 Outdoor Season                     ,9th Grade,M,131.4,M,56.8
243,2413,2005 Outdoor Season                     ,10th Grade,M,125.6,M,54.0
244,2413,2006 Outdoor Season                     ,11th Grade,M,122.0,M,51.8
245,2413,2007 Outdoor Season                     ,12th Grade,M,128.86,M,52.6
246,2417,2004 Outdoor Season                     ,9th Grade,M,143.55,M,59.44
247,2417,2007 Outdoor Season                     ,12th Grade,M,131.2,M,55.25
248,2445,2004 Outdoor Season                     ,9th Grade,M,128.1,M,53.79
249,2445,2005 Outdoor Season                     ,10th Grade,M,129.0,M,54.4
250,2445,2006 Outdoor Season                     ,11th Grade,M,125.97,M,55.93
251,2445,2007 Outdoor Season                     ,12th Grade,M,134.56,M,55.2
252,2467,2005 Outdoor Season                     ,11th Grade,M,165.7,M,55.04
253,2472,2004 Outdoor Season                     ,10th Grade,M,127.5,M,56.04
254,2472,2005 Outdoor Season                     ,11th Grade,M,125.24,M,55.54
255,2481,2006 Outdoor Season                     ,11th Grade,M,159.07,M,67.03
256,2520,2005 Outdoor Season                     ,11th Grade,M,131.12,M,57.3
257,2520,2006 Outdoor Season                     ,12th Grade,M,128.43,M,56.99
258,2522,2004 Outdoor Season                     ,10th Grade,M,142.4,M,54.49
259,2579,2004 Outdoor Season                     ,9th Grade,M,140.0,M,56.87
260,2586,2006 Outdoor Season                     ,12th Grade,M,141.3,M,50.3
261,2607,2005 Outdoor Season                     ,12th Grade,M,115.03,M,53.31
262,2624,2005 Outdoor Season                     ,11th Grade,M,164.4,M,56.24
263,2650,2005 Outdoor Season                     ,11th Grade,M,130.0,M,54.24
264,2650,2006 Outdoor Season                     ,12th Grade,M,139.2,M,53.9
265,2651,2007 Outdoor Season                     ,12th Grade,M,123.85,M,53.9
266,2657,2005 Outdoor Season                     ,12th Grade,M,139.5,M,58.6
267,2662,2005 Outdoor Season                     ,12th Grade,M,124.02,M,51.7
268,2669,2005 Outdoor Season                     ,12th Grade,M,130.27,M,55.8
269,2675,2006 Outdoor Season                     ,12th Grade,M,127.6,M,54.0
270,2677,2006 Outdoor Season                     ,11th Grade,M,135.0,M,60.3
271,2697,2002 Outdoor  Season                     ,9th Grade,M,137.1,M,58.34
272,2697,2004 Outdoor Season                     ,11th Grade,M,120.71,M,52.04
273,2697,2005 Outdoor Season                     ,12th Grade,M,118.85,M,51.71
274,2735,2004 Outdoor Season                     ,10th Grade,M,128.3,M,54.88
275,2735,2005 Outdoor Season                     ,11th Grade,M,136.2,M,55.34
276,2756,2004 Outdoor Season                     ,11th Grade,M,122.42,M,53.24
277,2756,2005 Outdoor Season                     ,12th Grade,M,119.86,M,52.94
278,2758,2005 Outdoor Season                     ,11th Grade,M,120.64,M,55.84
279,2758,2006 Outdoor Season                     ,12th Grade,M,117.65,M,52.64
280,2783,2004 Outdoor Season                     ,11th Grade,M,135.67,M,58.84
281,2783,2005 Outdoor Season                     ,12th Grade,M,139.6,M,54.94
282,2848,2004 Outdoor Season                     ,10th Grade,M,127.35,M,55.34
283,2848,2005 Outdoor Season                     ,11th Grade,M,127.27,M,54.84
284,2848,2006 Outdoor Season                     ,12th Grade,M,125.36,M,52.6
285,2849,2005 Outdoor Season                     ,12th Grade,M,121.59,M,54.24
286,2895,2004 Outdoor Season                     ,12th Grade,M,130.64,M,56.94
287,2897,2004 Outdoor Season                     ,10th Grade,M,124.7,M,56.34
288,2902,2004 Outdoor Season                     ,11th Grade,M,121.4,M,51.9
289,2902,2005 Outdoor Season                     ,12th Grade,M,127.1,M,52.2
290,2912,2004 Outdoor Season                     ,9th Grade,M,139.2,M,61.24
291,2912,2005 Outdoor Season                     ,10th Grade,M,138.3,M,59.0
292,2912,2006 Outdoor Season                     ,11th Grade,M,125.9,M,54.8
