ID Number,Gender,Grade Level,Season,800 Meters
694,M,11th Grade,2008 Outdoor Season                     ,155.15
694,M,11th Grade,2008 Outdoor Season                     ,149.3
694,M,11th Grade,2008 Outdoor Season                     ,148.85
694,M,11th Grade,2008 Outdoor Season                     ,148.73
694,M,11th Grade,2008 Outdoor Season                     ,147.64
694,M,11th Grade,2008 Outdoor Season                     ,146.67
694,M,11th Grade,2008 Outdoor Season                     ,138.1
694,M,11th Grade,2008 Outdoor Season                     ,142.82
694,M,11th Grade,2008 Outdoor Season                     ,138.1
694,M,11th Grade,2008 Outdoor Season                     ,142.82
694,M,10th Grade,2007 Outdoor Season                     ,162.06
694,M,10th Grade,2005 Outdoor Season                     ,154.6
694,M,10th Grade,2005 Outdoor Season                     ,148.1
694,M,10th Grade,2005 Outdoor Season                     ,140.03
694,M,10th Grade,2005 Outdoor Season                     ,145.4
694,M,10th Grade,2005 Outdoor Season                     ,148.0
694,M,9th Grade,2004 Outdoor Season                     ,140.36
694,M,9th Grade,2004 Outdoor Season                     ,135.6
694,M,9th Grade,2004 Outdoor Season                     ,146.9
694,M,9th Grade,2004 Outdoor Season                     ,137.5
694,M,9th Grade,2004 Outdoor Season                     ,144.59
694,M,9th Grade,2004 Outdoor Season                     ,141.7
707,M,12th Grade,2008 Outdoor Season                     ,130.18
707,M,12th Grade,2008 Outdoor Season                     ,129.87
707,M,12th Grade,2008 Outdoor Season                     ,129.9
707,M,12th Grade,2008 Outdoor Season                     ,131.0
707,M,12th Grade,2008 Outdoor Season                     ,129.73
707,M,12th Grade,2008 Outdoor Season                     ,124.6
707,M,12th Grade,2008 Outdoor Season                     ,127.69
707,M,12th Grade,2008 Outdoor Season                     ,128.3
707,M,12th Grade,2008 Outdoor Season                     ,127.69
707,M,12th Grade,2008 Outdoor Season                     ,128.3
707,M,12th Grade,2008 Outdoor Season                     ,125.31
707,M,11th Grade,2007 Outdoor Season                     ,133.62
707,M,11th Grade,2007 Outdoor Season                     ,133.7
707,M,11th Grade,2007 Outdoor Season                     ,135.9
707,M,11th Grade,2007 Outdoor Season                     ,133.82
707,M,11th Grade,2007 Outdoor Season                     ,137.45
707,M,11th Grade,2007 Outdoor Season                     ,130.77
707,M,11th Grade,2007 Outdoor Season                     ,130.51
707,M,11th Grade,2007 Outdoor Season                     ,128.05
707,M,10th Grade,2006 Outdoor Season                     ,145.31
707,M,10th Grade,2006 Outdoor Season                     ,142.8
707,M,10th Grade,2006 Outdoor Season                     ,141.57
707,M,10th Grade,2006 Outdoor Season                     ,136.27
707,M,10th Grade,2006 Outdoor Season                     ,138.4
707,M,10th Grade,2006 Outdoor Season                     ,140.76
707,M,10th Grade,2006 Outdoor Season                     ,136.6
707,M,10th Grade,2006 Outdoor Season                     ,132.6
707,M,9th Grade,2005 Outdoor Season                     ,161.4
707,M,9th Grade,2005 Outdoor Season                     ,160.4
707,M,9th Grade,2005 Outdoor Season                     ,147.5
707,M,9th Grade,2005 Outdoor Season                     ,144.49
707,M,9th Grade,2005 Outdoor Season                     ,136.5
707,M,9th Grade,2005 Outdoor Season                     ,138.54
707,M,9th Grade,2005 Outdoor Season                     ,137.6
707,M,9th Grade,2004 Outdoor Season                     ,179.0
718,M,9th Grade,2004 Outdoor Season                     ,188.6
721,M,12th Grade,2004 Outdoor Season                     ,117.29
725,M,12th Grade,2005 Outdoor Season                     ,123.2
725,M,12th Grade,2005 Outdoor Season                     ,126.9
725,M,12th Grade,2005 Outdoor Season                     ,120.84
725,M,12th Grade,2005 Outdoor Season                     ,125.87
725,M,12th Grade,2005 Outdoor Season                     ,115.43
725,M,11th Grade,2004 Outdoor Season                     ,119.5
725,M,11th Grade,2004 Outdoor Season                     ,125.4
725,M,11th Grade,2004 Outdoor Season                     ,124.12
725,M,11th Grade,2004 Outdoor Season                     ,119.02
725,M,11th Grade,2004 Outdoor Season                     ,123.07
725,M,11th Grade,2004 Outdoor Season                     ,118.34
725,M,11th Grade,2004 Outdoor Season                     ,123.0
725,M,11th Grade,2004 Outdoor Season                     ,123.8
725,M,11th Grade,2004 Outdoor Season                     ,116.1
725,M,10th Grade,2003 Outdoor  Season                     ,118.86
726,M,12th Grade,2005 Outdoor Season                     ,119.71
726,M,11th Grade,2004 Outdoor Season                     ,118.6
726,M,11th Grade,2004 Outdoor Season                     ,119.03
726,M,11th Grade,2004 Outdoor Season                     ,120.04
730,M,12th Grade,2004 Outdoor Season                     ,124.65
730,M,12th Grade,2004 Outdoor Season                     ,125.82
730,M,12th Grade,2004 Outdoor Season                     ,125.1
732,M,12th Grade,2004 Outdoor Season                     ,126.82
732,M,12th Grade,2004 Outdoor Season                     ,132.9
732,M,12th Grade,2004 Outdoor Season                     ,127.4
732,M,12th Grade,2004 Outdoor Season                     ,130.68
732,M,12th Grade,2004 Outdoor Season                     ,126.55
732,M,12th Grade,2004 Outdoor Season                     ,125.7
732,M,12th Grade,2004 Outdoor Season                     ,129.26
739,M,12th Grade,2006 Outdoor Season                     ,121.0
739,M,11th Grade,2005 Outdoor Season                     ,127.5
739,M,11th Grade,2005 Outdoor Season                     ,125.4
741,M,12th Grade,2006 Outdoor Season                     ,140.29
741,M,12th Grade,2006 Outdoor Season                     ,133.92
741,M,12th Grade,2006 Outdoor Season                     ,136.77
741,M,12th Grade,2006 Outdoor Season                     ,133.3
741,M,12th Grade,2006 Outdoor Season                     ,128.0
741,M,12th Grade,2006 Outdoor Season                     ,134.0
741,M,12th Grade,2006 Outdoor Season                     ,129.75
742,M,10th Grade,2004 Outdoor Season                     ,140.19
759,M,12th Grade,2006 Outdoor Season                     ,133.99
759,M,12th Grade,2006 Outdoor Season                     ,130.66
759,M,12th Grade,2006 Outdoor Season                     ,131.67
759,M,12th Grade,2006 Outdoor Season                     ,128.0
759,M,12th Grade,2006 Outdoor Season                     ,133.0
759,M,12th Grade,2006 Outdoor Season                     ,127.34
774,M,11th Grade,2004 Outdoor Season                     ,132.1
803,M,12th Grade,2006 Outdoor Season                     ,122.06
803,M,11th Grade,2005 Outdoor Season                     ,120.8
803,M,11th Grade,2005 Outdoor Season                     ,121.8
803,M,11th Grade,2005 Outdoor Season                     ,113.8
803,M,10th Grade,2004 Outdoor Season                     ,121.4
803,M,10th Grade,2004 Outdoor Season                     ,124.93
803,M,10th Grade,2004 Outdoor Season                     ,126.61
832,M,12th Grade,2006 Outdoor Season                     ,128.9
832,M,12th Grade,2006 Outdoor Season                     ,124.71
832,M,12th Grade,2006 Outdoor Season                     ,134.5
832,M,11th Grade,2005 Outdoor Season                     ,125.5
832,M,11th Grade,2005 Outdoor Season                     ,129.2
832,M,10th Grade,2004 Outdoor Season                     ,141.5
832,M,10th Grade,2004 Outdoor Season                     ,132.6
832,M,10th Grade,2004 Outdoor Season                     ,133.2
832,M,10th Grade,2004 Outdoor Season                     ,136.0
832,M,10th Grade,2004 Outdoor Season                     ,129.8
832,M,10th Grade,2004 Outdoor Season                     ,128.08
832,M,9th Grade,2003 Outdoor  Season                     ,149.0
832,M,9th Grade,2003 Outdoor  Season                     ,146.9
832,M,9th Grade,2003 Outdoor  Season                     ,153.0
832,M,9th Grade,2003 Outdoor  Season                     ,142.2
832,M,9th Grade,2003 Outdoor  Season                     ,150.5
832,M,9th Grade,2003 Outdoor  Season                     ,142.0
835,M,12th Grade,2004 Outdoor Season                     ,122.27
835,M,12th Grade,2004 Outdoor Season                     ,126.3
835,M,12th Grade,2004 Outdoor Season                     ,120.1
835,M,12th Grade,2004 Outdoor Season                     ,120.26
835,M,12th Grade,2004 Outdoor Season                     ,118.1
835,M,12th Grade,2004 Outdoor Season                     ,120.29
835,M,12th Grade,2004 Indoor Season                     ,122.3
836,M,12th Grade,2004 Outdoor Season                     ,126.76
836,M,12th Grade,2004 Outdoor Season                     ,125.39
836,M,12th Grade,2004 Indoor Season                     ,123.2
836,M,11th Grade,2003 Outdoor  Season                     ,118.78
839,M,12th Grade,2006 Outdoor Season                     ,129.74
839,M,12th Grade,2006 Outdoor Season                     ,123.5
839,M,12th Grade,2006 Outdoor Season                     ,135.5
839,M,12th Grade,2006 Outdoor Season                     ,125.9
839,M,12th Grade,2006 Outdoor Season                     ,125.5
839,M,11th Grade,2005 Outdoor Season                     ,126.0
877,M,12th Grade,2004 Outdoor Season                     ,121.0
877,M,12th Grade,2004 Outdoor Season                     ,122.9
877,M,12th Grade,2004 Outdoor Season                     ,120.2
877,M,12th Grade,2004 Outdoor Season                     ,117.7
877,M,12th Grade,2004 Outdoor Season                     ,117.05
877,M,12th Grade,2004 Outdoor Season                     ,116.71
877,M,12th Grade,2004 Outdoor Season                     ,118.48
877,M,9th Grade,2001 Outdoor  Season                     ,125.88
878,M,12th Grade,2004 Outdoor Season                     ,123.3
878,M,12th Grade,2004 Outdoor Season                     ,127.0
878,M,12th Grade,2004 Outdoor Season                     ,119.9
878,M,12th Grade,2004 Outdoor Season                     ,117.8
878,M,12th Grade,2004 Outdoor Season                     ,116.1
878,M,12th Grade,2004 Outdoor Season                     ,116.78
878,M,12th Grade,2004 Outdoor Season                     ,122.59
882,M,12th Grade,2005 Outdoor Season                     ,130.6
882,M,12th Grade,2005 Outdoor Season                     ,130.68
882,M,11th Grade,2004 Outdoor Season                     ,134.1
883,M,10th Grade,2004 Outdoor Season                     ,149.3
883,M,10th Grade,2004 Outdoor Season                     ,147.7
883,M,10th Grade,2004 Outdoor Season                     ,153.5
884,M,12th Grade,2005 Outdoor Season                     ,154.3
884,M,12th Grade,2005 Outdoor Season                     ,143.4
884,M,12th Grade,2005 Outdoor Season                     ,148.4
884,M,11th Grade,2004 Outdoor Season                     ,160.3
884,M,11th Grade,2004 Outdoor Season                     ,154.9
884,M,11th Grade,2004 Outdoor Season                     ,152.0
884,M,11th Grade,2004 Outdoor Season                     ,150.1
885,M,12th Grade,2004 Outdoor Season                     ,146.4
885,M,12th Grade,2004 Outdoor Season                     ,144.0
885,M,12th Grade,2004 Outdoor Season                     ,142.2
885,M,12th Grade,2004 Outdoor Season                     ,142.6
885,M,12th Grade,2004 Outdoor Season                     ,140.8
